intern_id,course,rating
INT_1000,Python Fundamentals,7.0
INT_1000,SQL & Databases,8.5
INT_1000,Cloud Computing (AWS),7.0
INT_1000,Docker & Kubernetes,7.0
INT_1000,System Design,7.0
INT_1000,Frontend Basics (React),8.5
INT_1000,Data Wrangling & Pandas,8.5
INT_1000,APIs & Microservices,7.0
INT_1001,SQL & Databases,8.5
INT_1001,Data Wrangling & Pandas,8.5
INT_1001,APIs & Microservices,8.5
INT_1002,Python Fundamentals,8.5
INT_1002,Cloud Computing (AWS),8.5
INT_1002,System Design,6.5
INT_1002,Frontend Basics (React),6.5
INT_1002,Data Wrangling & Pandas,6.5
INT_1002,Git & Version Control,6.5
INT_1002,APIs & Microservices,8.5
INT_1002,Time Series Analysis,6.5
INT_1002,Reinforcement Learning,6.5
INT_1003,SQL & Databases,5.2
INT_1003,Machine Learning Basics,5.2
INT_1003,Deep Learning,5.2
INT_1003,Data Visualization,5.2
INT_1003,Statistics & Probability,8.5
INT_1003,NLP & Text Analytics,5.2
INT_1003,A/B Testing & Experimentation,8.5
INT_1003,Data Wrangling & Pandas,5.2
INT_1003,Time Series Analysis,8.5
INT_1003,Business Intelligence & BI Tools,5.2
INT_1004,Python Fundamentals,8.5
INT_1004,SQL & Databases,8.5
INT_1004,Data Visualization,6.6
INT_1004,Cloud Computing (AWS),6.6
INT_1004,MLOps Pipelines,8.5
INT_1004,Data Wrangling & Pandas,6.6
INT_1004,APIs & Microservices,6.6
INT_1004,Time Series Analysis,6.6
INT_1004,Business Intelligence & BI Tools,6.6
INT_1005,Python Fundamentals,7.5
INT_1005,Data Visualization,7.5
INT_1005,Cloud Computing (AWS),7.5
INT_1005,Frontend Basics (React),7.5
INT_1005,Statistics & Probability,8.5
INT_1005,A/B Testing & Experimentation,8.5
INT_1005,Git & Version Control,7.5
INT_1005,APIs & Microservices,7.5
INT_1005,Time Series Analysis,8.5
INT_1005,Reinforcement Learning,7.5
INT_1006,Python Fundamentals,8.5
INT_1006,Cloud Computing (AWS),5.2
INT_1006,Docker & Kubernetes,5.2
INT_1006,System Design,8.5
INT_1006,Frontend Basics (React),5.2
INT_1006,NLP & Text Analytics,5.2
INT_1006,Data Wrangling & Pandas,5.2
INT_1006,Git & Version Control,5.2
INT_1006,APIs & Microservices,8.5
INT_1007,Python Fundamentals,8.5
INT_1007,SQL & Databases,7.5
INT_1007,Deep Learning,7.5
INT_1007,System Design,8.5
INT_1007,Git & Version Control,8.5
INT_1008,Cloud Computing (AWS),5.5
INT_1008,Docker & Kubernetes,8.5
INT_1008,Cybersecurity Essentials,8.5
INT_1008,Git & Version Control,8.5
INT_1008,APIs & Microservices,5.5
INT_1009,Python Fundamentals,8.5
INT_1009,Data Visualization,6.6
INT_1009,Data Wrangling & Pandas,6.6
INT_1009,Git & Version Control,8.5
INT_1009,APIs & Microservices,8.5
INT_1010,SQL & Databases,8.5
INT_1010,Cloud Computing (AWS),8.5
INT_1010,Docker & Kubernetes,7.4
INT_1010,Cybersecurity Essentials,8.5
INT_1010,System Design,7.4
