intern_id,department,education_background,gpa,prior_internships,python_skill_score,math_stat_score,sql_score,ml_knowledge_score,cloud_infra_score,hours_per_week,learning_style,preferred_time,mentor_interaction_pref,primary_device,courses_completed_count,completed_courses,avg_quiz_score_pct,session_completion_rate,engagement_score,dropout_risk,satisfaction_rating,days_since_joining,peers_similar_dept_took,recommended_course_1,recommended_course_2,recommended_course_3
INT_1000,Software Engineering,Computer Science,3.21,0,7.8,5.7,6.3,8.3,3.0,12.7,Video,No Preference,High,Mixed,5,"Python Fundamentals, Cloud Computing (AWS), Docker & Kubernetes, System Design, APIs & Microservices",60.6,0.86,7.0,Low,4.5,121,SQL & Databases,SQL & Databases,Frontend Basics (React),Data Wrangling & Pandas
INT_1001,Software Engineering,Electrical Engineering,3.06,2,3.8,10.0,5.7,4.3,2.4,10.8,Mixed,Evening,Medium,Tablet,0,,60.5,0.85,6.7,Low,4.3,177,Python Fundamentals,SQL & Databases,APIs & Microservices,Data Wrangling & Pandas
INT_1002,Software Engineering,Mathematics,3.33,1,7.8,4.6,1.6,4.1,2.5,7.5,Video,Night Owl,Medium,Mixed,6,"System Design, Frontend Basics (React), Data Wrangling & Pandas, Git & Version Control, Time Series Analysis, Reinforcement Learning",72.5,0.8,6.5,Low,3.0,170,Python Fundamentals,APIs & Microservices,Python Fundamentals,Cloud Computing (AWS)
INT_1003,Data Science,Electrical Engineering,3.22,2,7.1,7.2,6.8,6.2,5.1,6.1,Video,Morning,Low,Mixed,7,"SQL & Databases, Machine Learning Basics, Deep Learning, Data Visualization, NLP & Text Analytics, Data Wrangling & Pandas, Business Intelligence & BI Tools",84.5,0.37,5.2,High,3.4,28,Statistics & Probability,Time Series Analysis,Statistics & Probability,A/B Testing & Experimentation
INT_1004,Data Engineering,Mathematics,2.89,1,6.4,4.1,5.1,4.8,9.0,5.7,Reading,Night Owl,Medium,Desktop,6,"Data Visualization, Cloud Computing (AWS), Data Wrangling & Pandas, APIs & Microservices, Time Series Analysis, Business Intelligence & BI Tools",70.7,0.93,6.6,Low,3.8,43,Python Fundamentals,SQL & Databases,MLOps Pipelines,Python Fundamentals
INT_1005,Frontend Dev,Information Systems,3.2,3,6.6,5.3,6.5,3.2,1.7,9.4,Mixed,Evening,Medium,Mixed,7,"Python Fundamentals, Data Visualization, Cloud Computing (AWS), Frontend Basics (React), Git & Version Control, APIs & Microservices, Reinforcement Learning",95.2,0.78,7.5,Low,4.2,143,SQL & Databases,A/B Testing & Experimentation,Time Series Analysis,Statistics & Probability
INT_1006,Software Engineering,Computer Science,3.2,3,4.8,6.9,4.7,6.1,3.3,12.3,Video,No Preference,High,Tablet,6,"Cloud Computing (AWS), Docker & Kubernetes, Frontend Basics (React), NLP & Text Analytics, Data Wrangling & Pandas, Git & Version Control",40.8,0.56,5.2,Medium,3.3,106,Python Fundamentals,APIs & Microservices,Python Fundamentals,System Design
INT_1007,Cybersecurity,Mathematics,3.09,1,5.5,5.2,6.8,6.6,1.5,11.3,Video,Morning,High,Desktop,2,"SQL & Databases, Deep Learning",77.5,0.88,7.5,Low,4.4,126,Python Fundamentals,Python Fundamentals,System Design,Git & Version Control
INT_1008,Cybersecurity,Electrical Engineering,3.82,0,6.3,5.4,4.3,0.4,6.0,5.4,Reading,Night Owl,Medium,Tablet,2,"Cloud Computing (AWS), APIs & Microservices",71.2,0.62,5.5,Medium,4.8,166,Python Fundamentals,Cybersecurity Essentials,Docker & Kubernetes,Git & Version Control
INT_1009,Frontend Dev,Physics,3.61,1,9.6,6.9,2.1,5.6,1.5,11.5,Hands-on Projects,No Preference,High,Desktop,2,"Data Visualization, Data Wrangling & Pandas",81.2,0.58,6.6,Medium,4.5,64,Python Fundamentals,APIs & Microservices,Python Fundamentals,Git & Version Control
INT_1010,DevOps,Mathematics,3.19,2,6.8,6.6,6.7,4.3,6.6,16.2,Video,Night Owl,High,Desktop,4,"Docker & Kubernetes, System Design, Data Wrangling & Pandas, APIs & Microservices",53.0,0.89,7.4,Low,4.7,108,Python Fundamentals,Cloud Computing (AWS),SQL & Databases,Cybersecurity Essentials
INT_1011,DevOps,Statistics,2.8,1,4.5,3.0,3.8,6.7,3.9,8.5,Video,Afternoon,Medium,Mixed,1,Data Visualization,56.7,0.74,5.8,Medium,3.4,117,Python Fundamentals,Python Fundamentals,System Design,Git & Version Control
INT_1012,Frontend Dev,Information Systems,3.51,2,2.9,8.2,7.2,0.6,1.5,9.5,Mixed,Morning,Low,Laptop,6,"Python Fundamentals, Data Visualization, Docker & Kubernetes, Frontend Basics (React), Git & Version Control, Business Intelligence & BI Tools",77.1,0.65,6.4,Medium,4.4,62,APIs & Microservices,APIs & Microservices,SQL & Databases,Data Wrangling & Pandas
